"Android phones database.

",,,,,,,,,,,,,
Tablet database: ,,https://docs.google.com/spreadsheet/ccc?key=0Argh_eVbu2eZdDBXdmpld1dvckl6RUlHamJjMzVaQXc#gid=2,,,,,,,,,,,
Fork on GitHub: ,,https://github.com/mataanin/android-devices,,,,,,,,,,,
"Author:
",,https://twitter.com/MaksimGolivkin,,,,,,,,,,,
,,,,,,,,,,,,,
Manufacturer,Model,Diagonal,Generalized size,Density bucket,Width (px),Height (px),Density,Bucket dpi,Width (dp),Height (db),Released,Original version,Latest version
HTC,Sensation 4g,4.3,normal,hdpi,960,540,256.15,240,640,360,June 2011,2.3,
Samsung,Galaxy i5510,3.2,small,ldpi,240,400,145.77,120,320,533,October 2010,,
Samsung ,Galaxy 551,3.2,small,ldpi,240,400,145.77,120,320,533,October 2010,,
Motorola ,Droid 2,3.7,normal,hdpi,480,854.00,264.77,240,320,569,August 2010,2.2,
Motorola,Droid 3,4,normal,hdpi,540,960,275.36,240,360,640,July 2011,2.3,
Motorola,Droid 4,4,normal,hdpi,540,960,275.36,240,360,640,January 2012,,
Motorola,Droid X2,4.3,normal,hdpi,540,960,256.15,240,360,640,May 2012,2.3,
Motorola,Razr Maxx,4.3,normal,hdpi,540,960,256.15,240,360,640,May 2012,2.3.6,4
Motorola,Razr M,4.3,normal,hdpi,540,960,256.00,240,360,640,September 2012,4.04,4.1
Motorola,Droid Pro,3.1,small,xhdpi,320,480,186.00,,,,November 2010,2.2,2.3
LG ,Nexus 4,4.7,large,xhdpi,768,1280,318.00,320,384,640,,,
LG,Intuition,5,large,hdpi,768,1024,256.00,240,512,683,,,
LG,G2x,4,normal,hdpi,480,800,256.00,240,320,533,April 2011,2.2,2.3
HTC,G2,3.7,normal,hdpi,480,800,256.00,240,320,533,October 2010,2.2,
HTC,Fireball,4,normal,hdpi,540,960,256.00,240,360,640,"2011, April",2.2,4.03
HTC ,Droid Incredible 2,4,normal,hdpi,480,800,256.00,240,320,533,"2011, April",2.2,
HTC,Incredible 4g,4,normal,hdpi,540,960,256.00,240,360,640,"2011, April",2.2,4.03
HTC,Droid Incredible,3.7,normal,hdpi,480,800,252.15,240,320,533,March 2010,1.6,2.3
Samsung,Galaxy Stellar 4g,4,normal,hdpi,480,800,256.00,240,320,533,August 2012,4.0.4,
Samsung,Stratospher,4,normal,hdpi,480,800,256.00,240,320,533,October 2011,2.3,
Samsung,Stratospher II,4,normal,hdpi,480,800,256.00,240,320,533,October 2011,2.3,
Samsung,Galaxy S5,5.1,large,xxhdpi,1080,1920,432,480,360,640,,,
